student_id,subject,total_units,units_completed,total_study_time,avg_study_time_per_week,avg_study_sessions_per_week,attendance_rate,assignment_completion_rate,participation_score,total_quizzes,quizzes_score_percentage,last_access_days_ago,perceived_engagement,final_exam_score,date_collected
1001,math,10,7,52.1,6.5,4,0.9,0.95,8,10,90,1,4,88,2024-09-01
1002,science,12,8,60.3,7.5,5,0.95,1.0,9,15,87,0,5,92,2024-09-01
1003,history,8,5,40.5,5.0,3,0.85,0.9,7,12,75,2,3,79,2024-09-01
1004,english,9,6,45.8,5.7,4,0.88,0.93,8,8,88,1,4,85,2024-09-01
1005,math,10,5,37.6,4.7,3,0.8,0.85,6,10,70,3,3,76,2024-09-01
1006,science,12,9,68.4,8.5,6,0.98,1.0,10,15,93,0,5,95,2024-09-01
1007,history,8,4,32.0,4.0,2,0.75,0.8,5,12,67,4,2,71,2024-09-01
1008,english,9,7,50.4,6.3,4,0.92,0.95,9,8,94,1,4,89,2024-09-01
1009,math,10,6,48.0,6.0,4,0.87,0.9,7,10,80,2,4,83,2024-09-01
1010,science,12,7,56.0,7.0,5,0.93,0.97,8,15,85,1,4,88,2024-09-01
1011,history,8,6,43.2,5.4,3,0.89,0.92,8,12,83,2,4,84,2024-09-01
1012,english,9,5,40.5,5.1,3,0.83,0.88,7,8,81,2,3,80,2024-09-01
1013,math,10,8,64.0,8.0,5,0.96,0.98,9,10,95,0,5,93,2024-09-01
1014,science,12,6,48.0,6.0,4,0.85,0.9,7,15,78,3,3,82,2024-09-01
1015,history,8,7,50.4,6.3,4,0.94,0.96,9,12,92,1,5,90,2024-09-01
1016,english,9,4,32.4,4.1,2,0.78,0.83,6,8,69,4,2,73,2024-09-01
1017,math,10,5,40.0,5.0,3,0.82,0.87,6,10,75,3,3,78,2024-09-01
1018,science,12,10,80.0,10.0,6,0.99,1.0,10,15,98,0,5,97,2024-09-01
1019,history,8,3,24.0,3.0,2,0.7,0.75,4,12,58,5,2,65,2024-09-01
1020,english,9,8,57.6,7.2,5,0.97,0.99,10,8,96,0,5,94,2024-09-01
1021,math,10,6,48.0,6.0,4,0.88,0.92,8,10,82,2,4,85,2024-09-01
1022,science,12,7,56.0,7.0,5,0.91,0.95,8,15,86,1,4,89,2024-09-01
1023,history,8,5,36.0,4.5,3,0.84,0.89,7,12,79,2,3,81,2024-09-01
1024,english,9,7,50.4,6.3,4,0.93,0.96,9,8,91,1,4,88,2024-09-01
1025,math,10,4,32.0,4.0,2,0.76,0.81,5,10,65,4,2,70,2024-09-01
1026,science,12,9,72.0,9.0,6,0.97,0.99,10,15,95,0,5,96,2024-09-01
1027,history,8,6,43.2,5.4,3,0.9,0.93,8,12,85,1,4,86,2024-09-01
1028,english,9,5,36.0,4.5,3,0.81,0.86,6,8,77,3,3,79,2024-09-01
1029,math,10,7,56.0,7.0,5,0.94,0.97,9,10,89,1,4,91,2024-09-01
1030,science,12,8,64.0,8.0,5,0.95,0.98,9,15,90,0,5,93,2024-09-01
1031,history,8,4,28.8,3.6,2,0.73,0.78,5,12,62,4,2,68,2024-09-01
1032,english,9,6,43.2,5.4,3,0.87,0.91,7,8,85,2,4,84,2024-09-01
1033,math,10,5,40.0,5.0,3,0.83,0.88,7,10,76,2,3,80,2024-09-01
1034,science,12,10,80.0,10.0,6,1.0,1.0,10,15,99,0,5,98,2024-09-01
1035,history,8,7,50.4,6.3,4,0.95,0.97,9,12,93,1,5,92,2024-09-01
1036,english,9,4,28.8,3.6,2,0.75,0.8,5,8,68,3,2,72,2024-09-01
1037,math,10,8,64.0,8.0,5,0.98,0.99,10,10,97,0,5,95,2024-09-01
1038,science,12,6,48.0,6.0,4,0.86,0.9,7,15,80,2,3,83,2024-09-01
1039,history,8,5,36.0,4.5,3,0.82,0.87,6,12,77,3,3,78,2024-09-01
1040,english,9,7,50.4,6.3,4,0.92,0.95,8,8,92,1,4,89,2024-09-01
1041,math,10,6,48.0,6.0,4,0.89,0.93,8,10,84,1,4,87,2024-09-01
1042,science,12,9,72.0,9.0,6,0.96,0.98,9,15,94,0,5,94,2024-09-01
1043,history,8,3,21.6,2.7,2,0.68,0.73,4,12,55,5,2,63,2024-09-01
1044,english,9,5,36.0,4.5,3,0.8,0.85,6,8,75,3,3,77,2024-09-01
1045,math,10,7,56.0,7.0,5,0.93,0.96,9,10,88,1,4,90,2024-09-01
1046,science,12,8,64.0,8.0,5,0.94,0.97,9,15,89,0,4,91,2024-09-01
1047,history,8,6,43.2,5.4,3,0.91,0.94,8,12,87,1,4,88,2024-09-01
1048,english,9,8,57.6,7.2,5,0.99,1.0,10,8,98,0,5,96,2024-09-01
1049,math,10,5,40.0,5.0,3,0.84,0.89,7,10,78,2,3,82,2024-09-01
1050,science,12,7,56.0,7.0,5,0.92,0.96,8,15,88,1,4,90,2024-09-01
